,name,wins,losses,ties,win_percentage
1,Chiefs,14,2,0,0.875
2,Packers,13,3,0,0.813
3,Bills,13,3,0,0.813
4,Saints,12,4,0,0.750
5,Steelers,12,4,0,0.750
6,Seahawks,12,4,0,0.750
7,Titans ,11,5,0,0.688
8,Buccaneers,11,5,0,0.688
9,Ravens ,11,5,0,0.688
10,Browns,11,5,0,0.688
11,Colts      ,11,5,0,0.688
12,Rams,10,6,0,0.625
13,Dolphins,10,6,0,0.625
14,Bears,8,8,0,0.500
15,Cardinals,8,8,0,0.500
16,Raiders,8,8,0,0.500
17,Football Team,7,9,0,0.438
18,Vikings,7,9,0,0.438
19,Patriots,7,9,0,0.438
20,Chargers,7,9,0,0.438
21,49ers,6,10,0,0.375
22,Giants,6,10,0,0.375
23,Cowboys,6,10,0,0.375
24,Broncos,5,11,0,0.313
25,Panthers,5,11,0,0.313
26,Lions,5,11,0,0.313
27,Bengals,4,11,1,0.281
28,Eagles,4,11,1,0.281
29,Texans      ,4,12,0,0.250
30,Falcons,4,12,0,0.250
31,Jets,2,12,0,0.143
32,Jaguars,1,12,0,0.077
